"Chaos;Child"	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	M
"Chaos;Head"	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	EC
"Steins;Gate 0"	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	RP
"Steins;Gate Elite"	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	E
"Steins;Gate"	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	A
"Steins;Gate: Linear Bounded Phenogram"	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	EC
?berSoldier	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	E
1001 Spikes	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	M
101 Dalmatians: Escape from DeVil Manor	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	RP
102 Dalmatians: Puppies to the Rescue	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	EC
12Riven: The Psi-Climinal of Integral	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	T
140	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	A
1914 Shells of Fury	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	RP
2 on 2 Open Ice Challenge	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	RP
2002 FIFA World Cup	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	EC
2006 FIFA World Cup	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	RP
25 To Life	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	EC
3-D Ultra Pinball	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	EC
3D Body Adventure	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	RP
3D Ultra Minigolf	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	T
428: Shibuya Scramble	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	RP
4x4 EVO 2	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	EC
4x4 Evolution	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	E 10+
5	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	RP
6180 the moon	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	M
7 Sins	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	EC
7 Wonders of the Ancient World	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	E
80 Days	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	EC
9: The Last Resort	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	E 10+
A Game of Thrones: Genesis	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	A
A Hat in Time	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	T
A New Beginning	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	RP
A Tale in the Desert	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	E
A Tale of Two Kingdoms	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	RP
A Vampyre Story	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	RP
A Virus Named TOM	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	E 10+
A2 Racer	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	EC
ABC Sports Indy Racing	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	T
Abomination: The Nemesis Project	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	M
Ace Online	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	T
Ace Ventura	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	RP
Aces of the Galaxy	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	A
Achtung Spitfire!	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	E
Act of War: Direct Action	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	T
Act of War: High Treason	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	E 10+
Active Worlds	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	E
Activision Anthology	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	RP
Actua Ice Hockey	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	M
Actua Pool	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	E 10+
Addiction Pinball	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	1	1	EC
